date,close,start,high,low,volume
2014-06-24,259.75,257.1,260.38,257.04,65.84
2014-06-23,256.77,256.43,257.55,256,52.71
2014-06-20,255.31,258.65,258.7,255.03,68.58
2014-06-19,258.83,259.19,259.95,258.15,59.35
2014-06-18,258.7,260.46,260.46,258.31,52.47
2014-06-17,260.43,259.57,260.74,259.02,57.92
2014-06-16,259.43,258.16,259.7,258.04,57.2
2014-06-13,258.75,261.09,261.11,257.89,49.99
2014-06-12,262.01,262.57,262.83,260.83,64.44
2014-06-11,262.62,262.19,263.19,261.58,62.39
2014-06-10,262.64,261.24,262.77,260.36,58.61
2014-06-09,259.68,261.97,262.45,259.18,64.8
2014-06-05,260.56,262.27,262.28,259.31,80.37
2014-06-03,262.22,262.1,262.32,260.07,73.58
2014-06-02,261.4,260.49,261.92,260.49,52.32
2014-05-30,259.94,263.07,263.68,259.93,90.31
2014-05-29,262.57,263.61,263.98,262.15,57.99
2014-05-28,263.01,260.83,263.01,260.46,52.06
2014-05-27,260.36,262.92,263.22,259.31,46.54
2014-05-26,262.33,263.14,263.87,261.99,45.73
2014-05-23,263.42,262.8,263.63,262.59,53.47
2014-05-22,263.33,263.41,264.5,262.8,66.93
2014-05-21,262.4,261.9,263.58,261.56,53.82
2014-05-20,263.04,262.97,263.38,262.07,59.79
2014-05-19,263.42,262.88,263.5,261.25,66.14
2014-05-16,262.97,261.45,262.97,260.64,57.49
2014-05-15,262.4,261.98,263.17,261.82,60.17
2014-05-14,262.43,259.63,262.43,259.57,57.24
2014-05-13,258.4,256.99,259.27,256.58,60.7
2014-05-12,255.8,254.23,256.11,253.44,58.44
2014-05-09,254.31,254.2,254.8,253.45,49.66
2014-05-08,253.84,253.31,253.85,251.72,59.47
2014-05-07,252.35,255.83,255.88,252.35,60.56
2014-05-02,255.07,256.08,256.49,254.79,54.12
2014-04-30,255.33,257.16,257.29,254.28,65.99
2014-04-29,255.8,257.52,257.74,255.16,53.84
2014-04-28,256.8,256.95,257.97,256.8,56.17
2014-04-25,257.42,260.83,260.86,257.42,61.35
2014-04-24,261.08,262.09,262.22,260.39,67.31
2014-04-23,261.2,262.37,262.87,260.93,76.56
2014-04-22,261.55,261.17,261.66,259.83,61.08
2014-04-21,260.9,261.77,261.87,260.06,41.41
2014-04-18,261.52,260.65,261.69,260.6,48.58
2014-04-17,259.66,260.96,261.08,258.63,54.37
2014-04-16,259.83,260.03,260.44,258.96,54.1
2014-04-15,259.74,262.22,262.29,259.46,59.52
2014-04-14,260.51,260.02,261.21,259.92,51.72
2014-04-11,260.53,259.1,260.53,259.08,59.84
2014-04-10,262.41,262.4,262.57,260.62,69.2
2014-04-09,261.21,261.18,261.55,260.31,88.11
2014-04-08,260.47,258.15,260.85,258.15,60.64
2014-04-07,259.89,259.03,260.09,258.16,55.82
2014-04-04,259.47,259.21,260.35,258.98,60.46
2014-04-03,259.34,259.99,261.49,259.07,69.46
2014-04-02,259.7,260.14,260.34,259.33,68.69
2014-04-01,258.95,257.88,259.01,256.78,65.18
2014-03-31,258.11,258.54,258.71,256.3,70
2014-03-28,257.44,256.37,258.07,255.96,54.78
2014-03-27,257.26,254.83,257.49,254.76,66.75
2014-03-26,255.08,253.55,255.4,253.36,70.21
2014-03-25,251.56,251.6,252.31,250.88,66.63
2014-03-24,252.31,250.89,252.84,250.87,60.24
2014-03-21,250.68,250.17,250.81,249.76,63.81
2014-03-20,248.68,250.88,251,248.68,62.12
2014-03-19,251.32,252.81,252.99,251.07,63.96
2014-03-18,251.87,252.05,252.75,250.59,60.88
2014-03-17,250.15,249.12,250.26,248.86,59.06
2014-03-14,249.02,248.56,250.12,248.2,69.09
2014-03-13,251.09,252.14,252.96,250.97,76.67
2014-03-12,251.11,254.52,254.75,250.75,75.96
2014-03-11,255.49,254.88,255.5,253.8,61.95
2014-03-10,254.48,256.19,256.23,254.1,56.88
2014-03-07,257.35,258.21,258.76,256.46,63.45
2014-03-06,257.63,257.66,257.73,256.68,58.29
2014-03-05,257.3,257.52,258.23,257.23,65.36
2014-03-04,254.78,254.9,256.22,254.52,51.57
2014-03-03,256.29,256.55,256.86,254.71,58.28
2014-02-28,258.41,257.98,258.74,257.35,97.75
2014-02-27,258.28,257.06,258.62,256.42,66.75
2014-02-26,257.31,256.13,257.8,255.03,62.75
2014-02-25,256.24,255.27,256.29,254.85,71.63
2014-02-24,254.01,255.25,255.82,253.21,48.16
2014-02-21,255.22,253.63,255.22,253.34,67.09
2014-02-20,250.95,251.34,252.57,250.65,63.25
2014-02-19,252.92,253.35,253.35,251.39,54.4
2014-02-18,253.66,253.69,254.3,252.07,48.39
2014-02-17,253.64,254.33,254.98,253.17,62.25
2014-02-14,252.74,251.38,253.83,251.35,61.59
2014-02-13,250.97,252.37,253.61,250.49,56.63
2014-02-12,252.31,253.29,253.29,252.07,71.97
2014-02-11,251.87,250.59,252.39,250.06,67
2014-02-10,250.47,251.2,251.26,249.39,62.57
2014-02-07,250.51,250.69,250.69,248.94,83.45
2014-02-06,248.56,246.92,249.04,246.85,69.98
2014-02-05,246.04,246.79,247.44,245.5,74.76
2014-02-04,245.3,246.56,247.04,245.1,81.42
2014-02-03,250.01,251.37,251.76,249.7,71.71
2014-01-29,252.89,251.11,253.31,250.98,75.45
2014-01-28,249.91,248.48,250.23,248.16,79.26
2014-01-27,248.95,248.22,250.18,247.43,74.55
2014-01-24,252.89,252.93,253.83,250.58,68.98
2014-01-23,253.74,256.72,256.75,253.72,61.08
2014-01-22,257.08,255.73,257.08,255.53,61.7
2014-01-21,256.34,255.03,256.65,254.29,56.96
2014-01-20,254.81,253.66,255.06,252,47.2
2014-01-17,253.46,255.54,256.13,253.37,58.44
2014-01-16,255.36,255.43,256.52,255.11,57.6
2014-01-15,254.73,255.52,255.65,253.82,64.62
2014-01-14,253.97,253.3,256.27,252.75,60
2014-01-13,254.08,253.83,254.84,253.16,54.4
2014-01-10,252.48,254.05,255.14,251.59,78.93
2014-01-09,253.63,256.26,256.65,253.63,77.98
